sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
sample(origin:{16.536516, 16.173805, 7.505000}, direction:{-0.315148, -0.948286, 0.037883}) => {1.000000, 1.000000, 1.000000}
