sample(origin:{ 17, 16, 8 }, direction:{ -0.348311, -0.937374, 0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348311, -0.937374, 0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348311, -0.937374, 0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348311, -0.937374, 0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350185, -0.936676, 0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350185, -0.936676, 0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350185, -0.936676, 0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350185, -0.936676, 0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352058, -0.935973, 0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352058, -0.935973, 0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352058, -0.935973, 0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352058, -0.935973, 0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353929, -0.935267, 0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353929, -0.935267, 0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353929, -0.935267, 0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353929, -0.935267, 0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348313, -0.937378, 0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348313, -0.937378, 0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348313, -0.937378, 0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348313, -0.937378, 0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350187, -0.936679, 0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350187, -0.936679, 0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350187, -0.936679, 0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350187, -0.936679, 0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352059, -0.935977, 0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352059, -0.935977, 0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352059, -0.935977, 0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352059, -0.935977, 0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353931, -0.935271, 0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353931, -0.935271, 0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353931, -0.935271, 0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353931, -0.935271, 0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348313, -0.937378, -0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348313, -0.937378, -0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348313, -0.937378, -0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348313, -0.937378, -0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350187, -0.936679, -0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350187, -0.936679, -0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350187, -0.936679, -0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350187, -0.936679, -0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352059, -0.935977, -0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352059, -0.935977, -0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352059, -0.935977, -0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.352059, -0.935977, -0.000999999 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353931, -0.935271, -0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353931, -0.935271, -0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353931, -0.935271, -0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.353931, -0.935271, -0.000999995 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348311, -0.937374, -0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348311, -0.937374, -0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348311, -0.937374, -0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.348311, -0.937374, -0.00299997 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350185, -0.936676, -0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350185, -0.936676, -0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350185, -0.936676, -0.00299998 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.350185, -0.936676, -0.00299998 }) => { 1, 1, 1 }
