sample(origin:{ 17, 16, 8 }, direction:{ -0.338894, -0.940735, 0.0129978 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338894, -0.940735, 0.0129978 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338894, -0.940735, 0.0129978 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338894, -0.940735, 0.0129978 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340774, -0.940055, 0.0129981 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340774, -0.940055, 0.0129981 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340774, -0.940055, 0.0129981 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340774, -0.940055, 0.0129981 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342654, -0.939372, 0.0129984 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342654, -0.939372, 0.0129984 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342654, -0.939372, 0.0129984 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342654, -0.939372, 0.0129984 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344532, -0.938685, 0.0129986 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344532, -0.938685, 0.0129986 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344532, -0.938685, 0.0129986 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344532, -0.938685, 0.0129986 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338902, -0.940757, 0.0109984 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338902, -0.940757, 0.0109984 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338902, -0.940757, 0.0109984 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338902, -0.940757, 0.0109984 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340783, -0.940078, 0.0109987 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340783, -0.940078, 0.0109987 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340783, -0.940078, 0.0109987 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340783, -0.940078, 0.0109987 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342662, -0.939394, 0.0109989 }) => { 1, 1, 1 }
